num,n45,Tone_1,Tone_2,Munsell C Hue,Munsell C Value,Munsell C Chroma,Ref.C Value,Ref.C Chroma,R,G,B,color,C,M,Y,K,X,Y,Z
0,,N,Neutral,N10,,,,,255,255,255,#FFFFFF,0,0,0,0,95,100,109
1,,Vp1,Very Pale1,,,,,,255,232,232,#FFE8E8,0,9,9,0,85,85,88
2,,Vp1,Very Pale1,,,,,,255,241,231,#FFF1E7,0,5,9,0,87,90,88
3,,Vp1,Very Pale1,,,,,,255,245,231,#FFF5E7,0,4,9,0,88,92,89
4,,Vp1,Very Pale1,,,,,,255,250,231,#FFFAE7,0,2,9,0,90,95,89
5,,Vp1,Very Pale1,,,,,,255,255,231,#FFFFE7,0,0,9,0,91,99,90
6,,Vp1,Very Pale1,,,,,,248,255,231,#F8FFE7,3,0,9,0,89,97,90
7,,Vp1,Very Pale1,,,,,,233,255,231,#E9FFE7,9,0,9,0,84,95,89
8,,Vp1,Very Pale1,,,,,,231,251,255,#E7FBFF,9,2,0,0,86,93,108
9,,Vp1,Very Pale1,,,,,,232,244,255,#E8F4FF,9,4,0,0,84,89,107
10,,Vp1,Very Pale1,,,,,,232,234,255,#E8EAFF,9,8,0,0,81,83,106
11,,Vp1,Very Pale1,,,,,,246,231,255,#F6E7FF,4,9,0,0,85,84,106
12,,Vp1,Very Pale1,,,,,,255,232,246,#FFE8F6,0,9,4,0,87,86,99
13,,N,Neutral,N10,,,,,255,255,255,#FFFFFF,0,0,0,0,95,100,109
14,,Vp2,Very Pale2,,,,,,255,185,184,#FFB9B8,0,27,28,0,67,59,53
15,,Vp2,Very Pale2,,,,,,255,212,183,#FFD4B7,0,17,28,0,73,72,55
16,,Vp2,Very Pale2,,,,,,255,226,183,#FFE2B7,0,11,28,0,77,79,56
17,,Vp2,Very Pale2,,,,,,255,241,182,#FFF1B6,0,5,29,0,81,88,57
18,,Vp2,Very Pale2,,,,,,255,255,181,#FFFFB5,0,0,29,0,85,96,58
19,,Vp2,Very Pale2,,,,,,234,255,182,#EAFFB6,8,0,29,0,78,92,58
20,,Vp2,Very Pale2,,,,,,189,255,182,#BDFFB6,26,0,29,0,65,86,57
